Danh mục,Số lượng
Dự án đầu tư phát triển,577.795
Kế hoạch tổng thể lựa chọn nhà thầu,3.371
Kế hoạch lựa chọn nhà thầu,2.243.002
Thông báo mời thầu,1.676.953
Kết quả mở thầu,927.372
Kết quả lựa chọn nhà thầu,2.627.494
Mời sơ tuyển nhà thầu,2.012
Mời quan tâm nhà thầu,86
Kết quả sơ tuyển nhà thầu,485
Kết quả mở sơ tuyển nhà thầu,12
Kết quả mời quan tâm nhà thầu,46
Kết quả mở quan tâm nhà thầu,4
Công bố danh mục dự án,7.105
Kế hoạch lựa chọn nhà đầu tư,1.347
Thông báo mời đầu tư,1.298
Mời sơ tuyển nhà đầu tư,913
Kết quả sơ tuyển nhà đầu tư,872
Kết quả lựa chọn nhà đầu tư,2.792
Danh mục hàng hóa,0
Nhà thầu,228.369
Nhà thầu là các công ty niêm yết,985
Nhà thầu vi phạm,1.310
Bên mời thầu,101.157
Danh sách chủ đầu tư,110.122
Thông báo đấu giá,526.475
Thông báo chọn tổ chức đấu giá,95.384
Tổ chức đấu giá,984
Đấu giá viên,2.238
Sở tư pháp,63
Gói thầu,5.588.861
Văn bản pháp quy,386
Quy hoạch xây dựng và đô thị,3.037
Tổ chức xây dựng,58.914
LAS - XD,2.588
Phòng thí nghiệm,175
Tổ chức chứng nhận,11
Tổ chức giám định,10
Phòng thí nghiệm y tế,26
Nhà cung cấp thử nghiệm thành thạo VIPAS,0
Tổ chức sản xuất mẫu chuẩn bởi VIRAS,0
